,empty_slots,free_bikes,latitude,longitude,name,timestamp,extra.last_updated,extra.slots
90,8,7,35.69788,139.830559,H1-92.亀戸駅東口第二自転車駐車場,2024-02-08T18:15:54.559000Z,1707416104,15
91,7,0,35.565768,139.727396,K1-59.京急梅屋敷第1駐車場,2024-02-08T18:15:54.560000Z,1707416104,7
92,1,9,35.576336,139.733691,K1-60.京急平和島第1駐車場,2024-02-08T18:15:54.560000Z,1707416104,10
93,3,0,35.611582,139.742528,I1-42.京急青横駐車場,2024-02-08T18:15:54.561000Z,1707416104,3
94,0,9,35.594722,139.737101,I1-43.京急南大井駐車場,2024-02-08T18:15:54.562000Z,1707416104,9
95,1,1,35.680849,139.65626,O7-05.ジーベック方南町,2024-02-08T18:15:54.563000Z,1707416104,2
96,21,8,35.697935,139.821855,H1-100.URアーバンライフ亀戸,2024-02-08T18:15:54.564000Z,1707416104,29
97,9,3,35.682516,139.736494,A6-10.紀尾井町ビル（西側）,2024-02-08T18:15:54.565000Z,1707416104,12
98,0,7,35.674788,139.731423,C3-02.赤坂地区総合支所,2024-02-08T18:15:54.566000Z,1707416104,7
99,0,10,35.661673,139.721118,C2-08.ファミリーマート西麻布霞町店,2024-02-08T18:15:54.567000Z,1707416104,10
100,6,0,35.682902,139.736494,A6-09.紀尾井町ビル（北側）,2024-02-08T18:15:54.568000Z,1707416104,6
101,10,1,35.630063,139.792209,H1-28.有明客船ターミナル,2024-02-08T18:15:54.568000Z,1707416104,11
102,0,8,35.687786,139.78205,B1-12.ファミリーマート堀留町二丁目店,2024-02-08T18:15:54.569000Z,1707416104,8
103,15,0,35.619234,139.774485,H1-26.青海客船ターミナル,2024-02-08T18:15:54.570000Z,1707416104,15
104,10,0,35.624467,139.781305,H1-27.パレットタウン乗船場,2024-02-08T18:15:54.571000Z,1707416104,10
105,8,7,35.72758,139.62432,O1-04.井草1-34,2024-02-08T18:15:54.576000Z,1707416104,15
106,16,0,35.656647,139.758301,C1-76.浜松町駅北口交通広場(ハマサイト前),2024-02-08T18:15:54.577000Z,1707416104,16
107,7,2,35.629807,139.662398,J1-52.駒沢一丁目公園前,2024-02-08T18:15:54.577000Z,1707416104,9
108,5,2,35.665466,139.748014,C1-75.虎ノ門PFビル,2024-02-08T18:15:54.578000Z,1707416104,7
109,11,0,35.678291,139.78157,B2-18.旭ビルディング,2024-02-08T18:15:54.579000Z,1707416104,11
110,3,3,35.722991,139.673048,N2-09.松山駐車場No.1,2024-02-08T18:15:54.580000Z,1707416104,6
111,3,3,35.627386,139.711182,I1-82.トミンハイム西五反田四丁目,2024-02-08T18:15:54.580000Z,1707416104,6
112,0,12,35.707035,139.633066,O4-03.ザ・ハウス,2024-02-08T18:15:54.581000Z,1707416104,12
113,14,2,35.704147,139.631955,O4-04.阿佐谷南3-43,2024-02-08T18:15:54.582000Z,1707416104,16
